region_code,council_code,name_sw,name_en,council_type
SONGWE,SONGWE_TUNDUMA_TC,Halmashauri ya Mji wa Tunduma,Tunduma Town Council,TOWN
SONGWE,SONGWE_SONGWE_DC,Halmashauri ya Wilaya ya Songwe,Songwe District Council,DISTRICT
SONGWE,SONGWE_MBOZI_DC,Halmashauri ya Wilaya ya Mbozi,Mbozi District Council,DISTRICT
SONGWE,SONGWE_ILEJE_DC,Halmashauri ya Wilaya ya Ileje,Ileje District Council,DISTRICT
KASKAZINI_UNGUJA,KASKAZINI_UNGUJA_KASKAZINI_A_DC,Halmashauri ya Wilaya ya Kaskazini A,Kaskazini A District Council,ZANZIBAR_DISTRICT
KASKAZINI_UNGUJA,KASKAZINI_UNGUJA_KASKAZINI_B_TC,Halmashauri ya Mji wa Kaskazini B,Kaskazini B Town Council,ZANZIBAR_TOWN
KUSINI_UNGUJA,KUSINI_UNGUJA_KATI_TC,Halmashauri ya Mji wa Kati,Kati Town Council,ZANZIBAR_TOWN
KUSINI_UNGUJA,KUSINI_UNGUJA_KUSINI_DC,Halmashauri ya Wilaya ya Kusini,Kusini District Council,ZANZIBAR_DISTRICT
MJINI_MAGHARIBI,MJINI_MAGHARIBI_MJINI_MC,Halmashauri ya Manispaa ya Mjini,Mjini Municipal Council,ZANZIBAR_MUNICIPAL
MJINI_MAGHARIBI,MJINI_MAGHARIBI_MAGHARIBI_A_MC,Halmashauri ya Manispaa ya Magharibi A,Magharibi A Municipal Council,ZANZIBAR_MUNICIPAL
MJINI_MAGHARIBI,MJINI_MAGHARIBI_MAGHARIBI_B_MC,Halmashauri ya Manispaa ya Magharibi B,Magharibi B Municipal Council,ZANZIBAR_MUNICIPAL
KASKAZINI_PEMBA,KASKAZINI_PEMBA_WETE_TC,Halmashauri ya Mji wa Wete,Wete Town Council,ZANZIBAR_TOWN
KASKAZINI_PEMBA,KASKAZINI_PEMBA_MICHEWENI_DC,Halmashauri ya Wilaya ya Micheweni,Micheweni District Council,ZANZIBAR_DISTRICT
KUSINI_PEMBA,KUSINI_PEMBA_CHAKE_CHAKE_TC,Halmashauri ya Mji wa Chake Chake,Chake Chake Town Council,ZANZIBAR_TOWN
KUSINI_PEMBA,KUSINI_PEMBA_MKOANI_TC,Halmashauri ya Mji wa Mkoani,Mkoani Town Council,ZANZIBAR_TOWN
